node_id,domain,node_type,status,criticality,weight,unlock_score,expected_path,actual_path,repo_exists,vps_exists,health,requires,delivers_to,consumes,process,produces,blocked_by,evidence,recommendation,metadata
FILE:backend/semiotic-bridge/Cargo.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,backend/semiotic-bridge/Cargo.toml,backend/semiotic-bridge/Cargo.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=359ff4a0cae78b979a13905a90dc7424161049fa40c124965de217896987e0d1"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:backend/shared-rs/Cargo.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,backend/shared-rs/Cargo.toml,backend/shared-rs/Cargo.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=5d6ce5bac9055ad167876ba1252e6036851291a2a832dd314a3019f1c38042c1"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:backend/sim-core/Cargo.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,backend/sim-core/Cargo.toml,backend/sim-core/Cargo.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=70322142516895182415b63e9270f887fa100c856721b521c66bcb5f8f3d9b46"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:backend/sim-ctl/Cargo.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,backend/sim-ctl/Cargo.toml,backend/sim-ctl/Cargo.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=c840da00bb0c1baf2ffce1f0c12eb51b86b32b38c128f0990d7cbce02c61d870"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:backend/sim-ctl/Dockerfile,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,backend/sim-ctl/Dockerfile,backend/sim-ctl/Dockerfile,True,False,NO APLICA,[],[],,,,[],"[""local_hash=e73a095011eaec320adef279511f14b28de586edf97706e71c19bca144196543"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:backend/simulator-v2/Cargo.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,backend/simulator-v2/Cargo.toml,backend/simulator-v2/Cargo.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=1977abbf19b401f6a78c29d06b899795631103c15f19c80865998ec61d1fc372"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:backend/token-enricher/Cargo.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,backend/token-enricher/Cargo.toml,backend/token-enricher/Cargo.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=4ba9a822889d77cd9836d836a6b55189d4484e244e57dd4a844c3219146208f5"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:backend/token-enricher/Dockerfile,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,backend/token-enricher/Dockerfile,backend/token-enricher/Dockerfile,True,False,NO APLICA,[],[],,,,[],"[""local_hash=e86868698f10a9e307c7a66ce6c0869cb24ae22a292a9ff238c65694d7d9d9be"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:configs/app.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,configs/app.toml,configs/app.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=85149f30cf6caaa9e96f3dccf9a190403fbb062b8c49d7b21a723bb262a3264c"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:contracts/foundry.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,contracts/foundry.toml,contracts/foundry.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=3814c6f9a5543c3948215ae12dc8a52eecc6af8eaf8df64d9824a8b9bbef132d"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:contracts/lib/forge-std/foundry.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,contracts/lib/forge-std/foundry.toml,contracts/lib/forge-std/foundry.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=1f31a15cfa163564fc8379cc47eb6fb83ba6b15cc905e48e977eca661f9e5b86"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:contracts/lib/forge-std/package.json,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,contracts/lib/forge-std/package.json,contracts/lib/forge-std/package.json,True,False,NO APLICA,[],[],,,,[],"[""local_hash=10e22a5296a047837ca84ccd93305034c950d1b0508757a5ec7443cd63655db2"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:contracts/lib/openzeppelin-contracts-upgradeable/contracts/package.json,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,contracts/lib/openzeppelin-contracts-upgradeable/contracts/package.json,contracts/lib/openzeppelin-contracts-upgradeable/contracts/package.json,True,False,NO APLICA,[],[],,,,[],"[""local_hash=58a2f5617ae92d0551e6606d95b30624c21b07d9727530060e2035a44d969d13"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:contracts/lib/openzeppelin-contracts-upgradeable/foundry.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,contracts/lib/openzeppelin-contracts-upgradeable/foundry.toml,contracts/lib/openzeppelin-contracts-upgradeable/foundry.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=1e707417b34bfded134fd5d78d5052a76771bcbb90ea6dc35c31a524e0364762"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:contracts/lib/openzeppelin-contracts-upgradeable/lib/forge-std/foundry.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,contracts/lib/openzeppelin-contracts-upgradeable/lib/forge-std/foundry.toml,contracts/lib/openzeppelin-contracts-upgradeable/lib/forge-std/foundry.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=f67e0b95d08ce29867ac15011bf45aecfd875c51c551428be35a336d26453f93"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:contracts/lib/openzeppelin-contracts-upgradeable/lib/forge-std/lib/ds-test/package.json,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,contracts/lib/openzeppelin-contracts-upgradeable/lib/forge-std/lib/ds-test/package.json,contracts/lib/openzeppelin-contracts-upgradeable/lib/forge-std/lib/ds-test/package.json,True,False,NO APLICA,[],[],,,,[],"[""local_hash=09b693a4b88ac70243bb884deab5f11e3b3a1c62aaa9c9429a7a81d6ae13fd50"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:contracts/lib/openzeppelin-contracts-upgradeable/lib/forge-std/package.json,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,contracts/lib/openzeppelin-contracts-upgradeable/lib/forge-std/package.json,contracts/lib/openzeppelin-contracts-upgradeable/lib/forge-std/package.json,True,False,NO APLICA,[],[],,,,[],"[""local_hash=0ce91f7268072a61d4335ac95857d9da6fa9d3c2a5dd2c65442e12ef63521297"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:contracts/lib/openzeppelin-contracts-upgradeable/lib/openzeppelin-contracts/contracts/package.json,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,contracts/lib/openzeppelin-contracts-upgradeable/lib/openzeppelin-contracts/contracts/package.json,contracts/lib/openzeppelin-contracts-upgradeable/lib/openzeppelin-contracts/contracts/package.json,True,False,NO APLICA,[],[],,,,[],"[""local_hash=cc5cb817bddec0f8b95fe2703e3509e6af3a08612ad808276bde89a556ab4d8d"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:contracts/lib/openzeppelin-contracts-upgradeable/lib/openzeppelin-contracts/foundry.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,contracts/lib/openzeppelin-contracts-upgradeable/lib/openzeppelin-contracts/foundry.toml,contracts/lib/openzeppelin-contracts-upgradeable/lib/openzeppelin-contracts/foundry.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=1e707417b34bfded134fd5d78d5052a76771bcbb90ea6dc35c31a524e0364762"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
