node_id,domain,node_type,status,criticality,weight,unlock_score,expected_path,actual_path,repo_exists,vps_exists,health,requires,delivers_to,consumes,process,produces,blocked_by,evidence,recommendation,metadata
FILE:.github/workflows/action-a-plus-v2.yml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.github/workflows/action-a-plus-v2.yml,.github/workflows/action-a-plus-v2.yml,True,True,NO APLICA,[],[],,,,[],"[""local_hash=d30ec6ce8105348b935b4a25520b81807e9d56f6ef94a45d0f0d9996f94473d8"", ""remote_hash=f95c80bf083556086424a082b18125cdd95ed810e71ca88345dd0ba9beafe25f""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.github/workflows/action-a-plus.yml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.github/workflows/action-a-plus.yml,.github/workflows/action-a-plus.yml,True,True,NO APLICA,[],[],,,,[],"[""local_hash=c9671cccee017f028027ba27bf1c82c2b50991760e46a943581713210af0add7"", ""remote_hash=26de16e0e3d09c846217c66ed3d5b4f144a2469664a26e18cf189e130cc06d4b""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.github/workflows/audit-vps-wiring.yml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.github/workflows/audit-vps-wiring.yml,.github/workflows/audit-vps-wiring.yml,True,True,NO APLICA,[],[],,,,[],"[""local_hash=c91f487abb4aea82d96a62950ea5fbd103b25036c84693c390c1ad62be3d5852"", ""remote_hash=58a804277aa6e0466c104e5c9dbdafb8950987ca6117337538f45b226edba745""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.github/workflows/audit-wiring.yml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.github/workflows/audit-wiring.yml,.github/workflows/audit-wiring.yml,True,True,NO APLICA,[],[],,,,[],"[""local_hash=bfc4385ba5a600557e24bfd2185ef9b86fed932c9647db36036a935f45ca835c"", ""remote_hash=212e72c2eb1a9e26116fddd094b2d95561a3ddc5e79b6d4737d2504dc63cee3e""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.github/workflows/audit.yml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.github/workflows/audit.yml,.github/workflows/audit.yml,True,True,NO APLICA,[],[],,,,[],"[""local_hash=0769b76110ddb330f444d48c51c6f8797e159b63fc35ae07133d3881932f67e8"", ""remote_hash=f4906ea8a345e8bdad2ec005e60cb89293b6253db2d26243ed93b5d0d4ba355a""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.github/workflows/c10-f1-recovery-step14-only.yml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.github/workflows/c10-f1-recovery-step14-only.yml,.github/workflows/c10-f1-recovery-step14-only.yml,True,True,NO APLICA,[],[],,,,[],"[""local_hash=9e5dab9c39173383799fbcfab037acd6ccbc9144cb6d9af48f183cefc5bdfdd4"", ""remote_hash=eb241d84002f907748f0860f325d4087a0f2f62668cedb3ce16adf0df333af0f""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.github/workflows/cartridge-integration-deploy.yml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.github/workflows/cartridge-integration-deploy.yml,.github/workflows/cartridge-integration-deploy.yml,True,True,NO APLICA,[],[],,,,[],"[""local_hash=da68a682bc256c1c77fc3c93517b33f5424c2ed99a3b7e2283bf3c476c14ee8f"", ""remote_hash=3417c255bef0437855d50f31cb42b5a7a5ff343043efd4a91dde599f2618f220""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.github/workflows/ci.yml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.github/workflows/ci.yml,.github/workflows/ci.yml,True,True,NO APLICA,[],[],,,,[],"[""local_hash=f8f3cedc84151b2d3ad07e2c723363f26bd63c8885777f36c11a7efc286e0b4c"", ""remote_hash=b52e8c136b263fe64421316190768bc3322572c6f31141c0b10b95c5df3f975c""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.github/workflows/codeql.yml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.github/workflows/codeql.yml,.github/workflows/codeql.yml,True,True,NO APLICA,[],[],,,,[],"[""local_hash=44e19f5eb4a1f8fb40f59b4670b1845bce355e82486bae5eeb25f6f0156f1961"", ""remote_hash=5e758a5fff700f1fdc2c15e3554e341c435d3f0b2018de673eb3c049d1e17737""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.github/workflows/deploy-edge-only-v2.yml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.github/workflows/deploy-edge-only-v2.yml,.github/workflows/deploy-edge-only-v2.yml,True,True,NO APLICA,[],[],,,,[],"[""local_hash=9a533add0763c9ac5eda719e4ce97022f28719ddd6a6f0e0fb25e081315fcc5c"", ""remote_hash=d96865fab6e5675bc42f290e065d3d54c16a1f9ebf8916b144813c42b5a72d6a""]",Deploy the canonical file version and verify SHA-256 parity.,{}
